name,description,Suit,Number,AlchemicalPower,Rarity,Arcanum
The Wheel,"We are reaping the rewards of our labor. Just as this wheel represents movement, and particularly movement with favorable connotations as influenced by Jupiter, we see the remnants of a Zodiac wheel. However, it is not the one we know of today. It is an ancient one, perhaps from distant pasts, where we have met ourselves in the same orientation on the wheel, but from either higher or lower on the cosmic horizon. This symbolizes cycles and favorable karmic implications, but each time we pass through it, we are reminded by the foreign zodiac of lessons and distant memories of times past. We have an opportunity at this junction to unite with all aspects of our soul and wisdom from ancient lifetimes. This is a moment in the journey that seems timeless, connecting both ancient past with future times. Access this 28 wisdom through a courageous heart, where living liquid plasma may be vortexed faster than the speed of light. The Divine lives in this sacred moment out of time.",Wheel,X,7,2,The Major Arcana
Strength,"Here you see a Jaguar Queen perched at the edge of the Aerthe using the sheer force of her mental faculties to conjure portals and bring to fruition the musings of her deep subconscious. We cannot make out whether the beasts coming from the portal of the infinite are friends or foes, yet she doesn’t waiver, displaying her mental and physical fortitude in her grounded footing. No matter what’s ahead of her, she is calm and poised, ready to face whatever it is. Ready to see what you’re made of? Or what you’re making? Either way, growth is occurring. Be careful not to force things with your willpower. You are being called into a higher expression of strength, one more feminine and allowing, not domineering reality. Instead of over-working, can you access flowstates more?",Strength,XI,6,2,The Major Arcana
The Hanged Man,"After fumbling around and trying to create using only sheer force and overpowering the situation, you finally are ready to “Let Go and Let God” as shown here in our Hanged Man. He is inverted but illuminated, showing that he has surrendered to The Divine and is now fully working in alignment with the pulse of consciousness that is igniting and connecting us all. This represents an exhale, where we allow and surrender to what is. We have done all the work, and we are tired of forcing. Now we surrender deeper into the more subtle Arcanum, aligning Head and Heart with the will of The Grand Beloved that some may call God. This is a time for releasing all attachments and expectations to outcomes and allowing the ‘co’ aspect of co-creation manifest its will and flow through you. Do you trust that you are held by the Grand Beloved? Can you surrender into 32 God’s will for you? How can you become more comfortable with the unknown?",Hanged Man,XII,5,2,The Major Arcana
The Unspoken,"Originally called “The Card With No Name”. In this rendition, you see a horse beast flying through the night, representing a Nightmare, or a mare running in the night. We don’t know why this mare is running. Did a gust of wind scare it, or was it due to its own other worldly connections? This card represents the first initiation on The Fool’s Journey, and that is one of The Unknown—the deep subconscious, the unspoken, that which we cannot see. Alluding to the feminine aspects with both symbolism of the Moon and the number 13, we could assume this horse is, in fact, a mare. This initiation allows us to feel an “external” force working against us. After many cards of accessing our divine spiritual power, we are now ready to be initiated deeper into our power by an unknown force majeure. Don’t shy away from such an 34 experience and shut down the light of your consciousness. Explore, learn and become curious once again! You are being offered a new beginning and it will serve you to tap into beginner’s mind.",Unspoken,XIII,8,2,The Major Arcana
Temperance,"Having been a bit too careless, we may have found ourselves allowing some laziness and darkness into our thoughts in the previous Arcana. Here is where we deepen our internal alchemical practice and learn to temper our emotional responses, yet again. We have accessed a deeper layer of our mental faculties, a layer that most do not ever get to even perceive. The currents are very subtle and move ever so slightly on the inner pendulum of emotion, yet at our current state of self-mastery, they cause potentially large swings in our external reality that reflect to us. As the alchemist grows, they must create spagyrics that are more and more refined as ‘less is more’ truly prevails in these settings. How can you find the middle path where you can distill the essence of your emotions to an even more refined decoction? Can you ease into 36 a middle path and yet access just as much joy in the simple satisfactions?",Temperance,XIV,8,2,The Major Arcana
The Adversary,"We may truly never know the fabric of what we’re made of without a good Adversary. In this card, traditionally known as The Devil, we see a powerful figure gazing ominously at us through a mask. We cannot tell who is truly behind such a mask, yet we assume outwardly that it is not of self. After all, every good hero needs a powerful Adversary. The Adversary represents the second initiation in The Fool’s Journey, where we’re faced with insurmountable obstacles. Whether emotional or earthly, this situation appears to be concrete and very solid. Upon further introspection, we see that The Adversary came in service to us all along. And in most cases, the astute sojourner can see how The Adversary and himself are one and the same. Again, call on your inner alchemical skillset to transmute this situation into fuel for your wildest dreams. In what ways 38 does the situation at hand serve you? Could you be your own worst enemy?",Adversary,XV,5,2,The Major Arcana
The House of God,"Whether we have successfully passed through the mastery portion of the previous card, realizing we are, in fact, our own adversary or not, this card comes to us as a stark reawakening. Your eyes, and especially your third-eye, can no longer stay closed to the light of cosmic and divine Truth that flow into them at increasing speeds. The river of information from the superhighway of nature and God flow into your crown, and if you attempt to shy away from it, destruction may occur. Allow this third initiation, however forceful it may feel, to catapult lower aspects of your ego out so only a solid foundation of authenticity may stand the test of time. When penetrated with the light of God, can you allow it to illuminate your own true nature? Are you clinging to aspects of yourself that are disingenuous? What are you being called to 40 allow to dissolve and soften into a more authentic version of yourself?",Tower,XVI,7,2,The Major Arcana
The Star,"Bravo! You have finally allowed the previous initiations to soften you, leaving only the supple undercurrents of your pure heart. Here you sit, in the fullness of both your expression and innocence. Take a moment to congratulate yourself and offer yourself the sweetest embrace of love! Not all who take the path of The Fool attain such sweet heights as to have landed at The Star. From this state of purity, you are born anew, and thus have the capacity to tap into new and unique solutions. Know you have already walked into the purifying fires and have become not only the Alchemist but the alchemy itself. It’s all within you at this point—indulge here in the suppleness of a clear North Star and inner gnosis. This is a card to celebrate your true nature. What things can you acknowledge and celebrate about yourself right now? How can you honor this delicate aspect of your own 42 innocence more?",Star,XVII,11,1,The Major Arcana
The Moon,"The final initiation on the journey of The Fool: we stare at a faceless Moon Goddess on a floating island. We cannot tell if it’s an illusion or if it is a being of this realm. The confusion leads us to reflect over our entire journey thus far. Has this construct we exist in, that protects us, and holds the soft insides of our existence even real? Is everything an illusion? Have we been in some sweet, timeless dream all along, or do the events that took place within this construct have their own tangible meaning? We are taken back to the primordial shores of our own emotions; can we read the currents of Truth in the waters within? What lessons does the construct offer us from each perspective? What can we learn from this current situation under both pretense of false and real? What would it mean if this situation was how you perceive it? Could it be another way? What 44 role do you play in the assessment of its validity?",Moon,XVIII,10,2,The Major Arcana
The Sun,"The twins stand so close, yet they are totally separated in different realms or dimensions. They are, however, also staring at seemingly the same Sun. The ultimate symbol for ‘As Above, So Below’ these two children do know of their connection, as they are still caught in duality, but with the light of their focus and attention, they are setting themselves on a course to transcend it. The small thin firmament that separates the two children is becoming thinner and thinner as the light of The Sun grows. And just like that, we too dissolve into Unity when the light of our awareness grows. Simultaneously, the Black Sun which represents our inner awareness rises and supersedes all external false idols, and we soon come to be consumed by the all-pervading force of this Clear Light of the Void. A moment of peace 46 engulfs us as we still the two minds and bring them into the harmonic resonance of unity.",Sun,XIX,10,2,The Major Arcana
Judgement,"Immediately following the spontaneous state of grace that was bestowed on The Fool in the previous card, the weight of his own responsibility falls on him all at once. Judgment comes swiftly, and “Ayni” or right relationship, must proceed. The Fool is offered a final opportunity to course correct nearly immediately in only such a way that Truth and love can guide, for he’s reached the heights of anointed illumination and the internal alchemical marriage. Now it is a sacred duty to make a judgment on oneself. With this comes the opportunity for responsibility for our creation. What will we choose? Will we take the Melchizedek vow and be of service till every aspect of our creation meets the light of the highest Truth and willingly joins The One? Will we dissolve into the abyss of unbridled bliss from whence we 48 came—Waheguru—once more? The choice is ok whether to stay and be of service or to dissolve back into The Divine. Only you will know.",Judgement,XX,9,3,The Major Arcana
The Realm,"Our beloved Fool has passed through all initiations, lessons and states of Grace bestowed to The Fool on our journey through the Major Arcana. You have passed and attained inner mastery. All the Arcana now are shown as feathers in your cap, and we pause here for a moment of stillness in celebration of your attainment of mastery. Illusions are shown clearly, with no fear and through the lens of the Most High. Rest deeply and firmly knowing that the world is, in fact, your entire projection and creation to steward. You are standing at the abyss where eternity intersects infinity and create at this point from the template of your truest song. The cymatics of your soul echo out into a blissful harmonic and form the realm as you 50 once knew it, at your command. From this place, you may boldly dream up a new realm to suit whatever expression your soul wishes to sing into existence. What new dreams are calling you? You know your power, go forth!",World,XXI,12,1,The Major Arcana
Ace of Cups,"A seed that will grow symbolizing new beginnings. Emotions start to take form from the depths of the uncharted territory of our subconscious. There is a fresh start, emotionally that softens the previous rigid structures of the mind. A new relationship may be appearing that will challenge all previous habits and tendencies. Much growth is promised should the querent maintain consciousness regarding the new waters.",Cups,Ace,1,40,The Minor Arcana
Two of Cups,"A new union is forming~ divine and aligned, an alchemical marriage of perfect polarities. There is a resonance between two, usually lovers, but can also be work or other types of partnerships. Conversely, it can also mean harmonization of the polarities within oneself. Think of an electrical circuit of liquid living plasma, flowing from resonant emotions creating cosmic connectivity. This is a highly auspicious card.",Cups,Two,1,40,The Minor Arcana
Three of Cups,"A celebration! It’s time to indulge in the highest of blissful and joyful vibrations amongst community and friends. If you’re attending a wedding or a festival remember it can be sweeter with a lover by your side. Conversely it can signify emotional release and creativity. Dance and make art! Find one thing you can celebrate about yourself, your community or your beloved at this very moment. You are the creator of the bliss that you seek!",Cups,Three,1,40,The Minor Arcana
Four of Cups,The exhale. Take a natural pause to integrate all the whirlwind of emotions that have come before. Settle into the emotional stability that comes from integration and take a pause for quiet time after intense bliss or emotional stir up. You are realizing that everything is coming to you that you’ve been manifesting. Now it is time to settle the waters of the mind to receive it all. Stabilization is needed. Work with the colors blue and gold surrounding you like an egg to help stabilize your emotional field.,Cups,Four,1,40,The Minor Arcana
Five of Cups,"The challenge/opportunity. The time is ripe for unprecedented growth! Alchemizing challenging situations into gold can prove to be an abundant fuel source for your dreams. This is an initiation phase, the moment you can capitulate yourself into a higher state. Learn to see the “challenge” at hand as an 54 opportunity. Extract the lessons as gold. You are growing, and these changes are your test!",Cups,Five,1,40,The Minor Arcana
Six of Cups,You have passed an alchemical initiation and are now learning how to thrive in higher emotional capacity in healthy ways. Your cup runneth over. You are giving and receiving love and care equally and exhibiting healthy boundaries. This is a performing phase where things are crystalizing into a positive flowstate.,Cups,Six,1,40,The Minor Arcana
Seven of Cups,"Your head is in the clouds, but that’s perfect because your feet are grounded steadily into reality. You are reflecting on your emotions and using them as an alchemical fuel to pour into your chalice as you create the next version of your dream of Heaven on Aerthe. Remember to breathe, you are continuously stepping into emotional mastery. Can you have more compassion with yourself?",Cups,Seven,1,40,The Minor Arcana
Eight of Cups,Another exhale. Gain perspective and take a pause to find and seek emotional depth from another vantage point. Challenge yourself to get out of your comfort zone. In this phase you are fine-tuning your emotions by zooming out and getting a bird’s eye perspective. Ride the elevator of your consciousness a couple floors up to see a bigger picture.,Cups,Eight,1,40,The Minor Arcana
Nine of Cups,Drinking from your own chalice. Celebrate! You are seeing the fruits of your labor and here you are basking in the amrita of the Goddess of Love! The sweet nectar of emotional bliss that has come from your hard work and due diligence in perfecting yourself. Allow yourself to inhale all the sweetness of your labor and effort.,Cups,Nine,1,40,The Minor Arcana
Ten of Cups,"Cosmic Union. A transcendental experience of consciousness comes from either a Divine Union in the external in the form of a beloved, or from within, as in the cosmic alchemical marriage between the physical and etheric. You are vibrating and rippling out waves of radiant harmonic energy as a result of this attainment. You are giving healing and blessings to all who drink from your vibrational chalice overflowing with love. Be bliss!!! You have attained it!",Cups,Ten,1,40,The Minor Arcana
Child of Cups,"Return to the inner magick of your curiosity and invoke a childlike wonder. Look into your emotional instincts with the intention to discover from the eyes of a child. What can you learn about this situation and how can you understand your emotions even more deeply? From this new understanding about what makes you tick, can you tap into the magick of pure emotion to create something that exceeds your previous ceiling or cap of creative potential?",Cups,Child,2,12,The Royal Arcana
Knight of Cups,"Your armor stands before you as an obstacle to be overcome. Your own guard seems impenetrable, but it is merely an illusion, a mirage. It’s time to drop the guard and drop into your more tender side, giving and receiving love and truly delighting in the suppleness that vulnerability begets. The most courageous expression at times is when we allow ourselves to be most tender. Harness this aspect of the divine masculine; that of gentleness and compassion as well as sensitivity.",Cups,Knight,2,12,The Royal Arcana
Queen of Cups,"Our Queen of the sacred waters balances the nine cups in perfect harmony, but in fact there are ten! This symbolizes Godly union and emotional harmony and maturity. The tenth cup is not visible, but it is the grail cup within her. The most feminine of all the Minor Arcana, this card comes to us as a reminder of divine feminine powers of juggling both compassion and Truth while maintaining 58 complete control and balance of our inner emotional state. We see clearly, yet we act from a place of stability. Our roots trace back to the beginning of time rooted in the wisdom of our ancestors.",Cups,Queen,2,12,The Royal Arcana
King of Cups,"Our noble King of the calm waters comes to us as a symbol of diplomacy, calmness and gentleness in conflict and inner or outer composure. This card offers you a unique vantage point to your emotions, rising above them and calming the internal waters. We approach and channel our emotions through the prism of the upward facing pyramid, referencing the divine masculine, so we are being firm, yet compassionate. We are navigating our lives in a way that illuminates both Truth and our deep emotional intuition.",Cups,King,2,12,The Royal Arcana
Ace of Wands,"A new beginning is here! A creative spark has ignited you and propelled you on a new path in a direction full of magick, hope and promise. Follow your passion and your most authentic motivations to wield your wand accordingly. This is the equivalent to the sperm fertilizing the egg before the zygote forms. Follow this motivation to see what action steps can follow for your highest destiny.",Wands,Ace,1,40,The Minor Arcana
Two of Wands,"This represents two distinct paths you can take. Only that still small voice inside you knows what the right path may be. Beyond that there is a more elevated option, where the choice is not between only two paths, but rather the idea of destiny and the concept of creatorhood. On the 60 one path, you are a victim to external situations, while on the other, you are taking responsibility for your thoughts and creations. Should you choose the latter path, spend sixty seconds right now immersing yourself in the feeling you get when the situation you desire most comes to fruition. Rejoice in all the bounteous feelings and manifest destiny.",Wands,Two,1,40,The Minor Arcana
Three of Wands,"This represents the path of creatorship. Even though you can’t see the full story, how the magick unfolds or even the magical tips of two of these wands; you are centered in your creation and ready at the helm. Symbolizing unity of the left-hand and the right-hand path, you find yourself in a place of neutrality, actively creating your own way.",Wands,Three,1,40,The Minor Arcana
Four of Wands,"You are shattering a ceiling you previously were unable to breach and have achieved a major breakthrough. By watching your thoughts, you 61 can create beyond what you think you are capable of achieving simply by holding the compass of your thoughts steadily pointed due north in the direction of your highest calling, purpose and desires. Align your head with your heart and witness your inner warrior fight the battles against baseline programs. Victoriously your warrior of presence will expel any implantations that are not in service to your highest calling. Stay steady on the course to victory.",Wands,Four,1,40,The Minor Arcana
Five of Wands,"Chaos? Look deeper, it is merely the casting of your innermost thoughts. Have you gotten sloppy in your presence and housekeeping of your thoughts? Are those subconscious programs of lack, failure, etc. still programming reality and reflecting conflict and struggle back to you in your life? Relax. Get centered. Let the light of your consciousness pierce through the sigils your thoughts have cast, undoing them and redoing them with the full power of your 62 Soul’s desire. Recommended to start a meditation practice of simple vipassana. Observe your breath.",Wands,Five,1,40,The Minor Arcana
Six of Wands,"Rejoice! It is only by your dedication to your inner sanctum and your commitment to keeping your headspace pristine that you receive this victory. The wands reflect connection to your emotional state as well as the stillness of the eternal void. The action of paying close attention has formed the most intricate tools by which to create even more magick. Take this time to celebrate and acknowledge how far you come, it is an essential and crucial part of your integration process. What accomplishment can you celebrate at this moment, right now?",Wands,Six,1,40,The Minor Arcana
Seven of Wands,"At first glance, the odds seem stacked against you, the obstacles insurmountable as you begin the treacherous ascent up the post. Do not waiver. This is a test where you discover what 63 you're made of... what is the boundary of where my creation ends, and destiny begins? Will you attain the jewel which resides in the consciousness of the Most High? The choice is yours, but do not forget to zoom out and get perspective of how close you are. You have already climbed to the heights of insurmountable obstacles. Don’t give up now, you are so close.",Wands,Seven,1,40,The Minor Arcana
Eight of Wands,You have cleared obstacles and created space for laser sharp focus. Aligned actions as a result of being in touch with your deep emotions have created a vehicle for you to soar toward your goals. You have renewed vitality and boundless energy that only comes from a well-rounded clarity. You are exhibiting integrity with your actions and emotions being in alignment. The circuit is complete in your energy field. Take flight!,Wands,Eight,1,40,The Minor Arcana
Nine of Wands,"The harvest of your alchemical garden is upon you. It is wise to refrain from starting brand new projects. Instead, complete and integrate what projects you have already begun. There is so much in your garden that is already ripe and ready for your enjoyment. Celebrate, integrate and feel satiated with the fruits of your labor. If some loose ends remain, polish them up and tie things down. Discover what messages are inscribed along the stones of the path that you took to get to where you are, decode the hidden messages. There is much more to learn from this accomplishment.",Wands,Nine,1,40,The Minor Arcana
Ten of Wands,"A new beginning of something already in your life. Take clear action steps that can bring new life to a project previously started. Time is cyclical and just as the sky clock rotates in 360 degrees, so does time. It also follows either an upward or downward spiral, depending on your thoughts. This shows a higher dimensional 65 octave of a previous project or situation in your life, in a higher timeframe. You are creating a new beginning. Alignment and ascending progress await as our journey continues.",Wands,Ten,1,40,The Minor Arcana
Child of Wands,"Delight in the magick around you! Call upon the magick of nature to inspire new creative ways to move in life. Change your scenery, even if only from the inside to get a new perspective and seek out all the magical underlying currents that are here in service to you. If you cannot find magick, create it! Delight in making a sacred space in your home or an altar in which to activate your own magical side. Consider entertaining a creative writing practice of your own.",Wands,Child,2,12,The Royal Arcana
Knight of Wands,"Know that you walk in Truth and wear it as armor. Right now, you are in a time where your actions, when taken swiftly, will be aligned and you will be protected. You don't need to 66 overthink before you act or blindly go into anything on false pretense. Instead, tap into a flowstate to ensure your actions are smooth and easy. Allow the synchronization of your courageous actions to carry you through.",Wands,Knight,2,12,The Royal Arcana
Queen of Wands,"You may have many things up in the air right now, and many ongoing projects and you are doing a fine job of multitasking. Your hands are full, yet you will be successful when you keep your focus on the end results. Tap into the magical flow of your passion. There is a vortex of energy carrying you through to your destination, so keep steadily focused on your ultimate vision and align all actions accordingly.",Wands,Queen,2,12,The Royal Arcana
King of Wands,"You have mastered your flow to attain pretty much any goal you set your sights on. You have learned to use every single one of your strengths to assist you on the journey, whether it 67 be your charisma or your brilliance in leadership inspiring others to action. Beware of arrogance and a quick temper, as a good leader will keep their own actions in check. Whether this is you or those around you, watch out for these behaviors.",Wands,King,2,12,The Royal Arcana
Ace of Swords,"Intellectual breakthroughs and fresh ideas. A paradigm shatters, only to reveal a new sense of awe and wonder. If you have been holding on to ideas out of fear, it is safe to let them go so you can experience life from a sense of childlike curiosity and awe. Settle into a humble unknowingness and enjoy all that this flowstate has to offer. This is the true beginner's mind! Adventure awaits!",Swords,Ace,1,40,The Minor Arcana
Two of Swords,"On the path of growing, we often are faced with new information that conflicts with the past. This card asks you to stretch the confines of your mind to be able to see and hold two totally conflicting data sets inside your being. Just for a moment, truly sit with this and see what cognitive dissonance is teaching you. Can you grow from this and expand in your beliefs; or is the original thought the one that holds the most weight? Are you secure enough in the belief to allow it to be tested? Explore and stay steadfast in your search for Truth.",Swords,Two,1,40,The Minor Arcana
Three of Swords,"A time of testing and outwardly expressing newly integrated beliefs. Sending out thoughts to the world and discovering what is being reflected to you. Are you the common denominator for your life’s affairs? Whether it seems good or bad, the answer is “yes.” If you are unable to see this, you might be stuck 69 looping in the victim mentality. The divine is offering you a ray of grace, but to claim it’s bounty you must accept accountability for your thoughts and their effect on creation.",Swords,Three,1,40,The Minor Arcana
Four of Swords,"Stability and groundedness in our current world view. Thoughts and ideas are zooming at you from all angles, yet you are grounded in your own spirit. Get there and stay there. Go inward, reflect. Cut out all external noise while being rooted and stable in what is true to YOU. There are many “wanna-be gurus,” and everyone is vying for your mental real estate. Be your own developer, find your center and your Source. Stay firm in your beliefs.",Swords,Four,1,40,The Minor Arcana
Five of Swords,"Perhaps we’ve swung too far in our isolation and steadfastness in our own beliefs and viewpoints. At times, and especially following a period of intense isolation, we may become rigid in our thought patterns. It is indeed a 70 delicate balance between not allowing lower vibrations into our field and maintaining our sense of peace. Come back to your heart space and remember to have compassion for self and others while remaining in your own steadfast integrity.",Swords,Five,1,40,The Minor Arcana
Six of Swords,"It’s time to meld and integrate all your conflicting beliefs and perhaps those of others close to you into an alchemical amalgamation. You have softened your sharp edges and are no longer harming yourself or others with a veiled or conflicted mind. Instead, they are harmonizing and congealing into becoming an egregore that can be of service to your dreams. Conversely, this will beget a newfound security within, at least at an emotional level, by synthesizing your paradigm.",Swords,Six,1,40,The Minor Arcana
Seven of Swords,"After a period of activity, you may be feeling stuck or like momentum is stagnant. If this is the 71 case, this card comes to you with a message of rest and surrender. If the path to your desired destination is not opening and aligning with ease at this moment, just relax and allow it to be as it is. Focus on the destination but let go of the idea that you had regarding the details and the route you thought you’d take to get there. Obstacles are a blessing in disguise.",Swords,Seven,1,40,The Minor Arcana
Eight of Swords,"There are many choices, many routes, many thoughts, many apparent obstacles and they all look shiny and beautiful. Perhaps you can see yourself in nearly all the reflections of each option and they may be connected. Caught in thought loops, going in circles and confusion brings a message: it’s time to find the still point within you now. Get off the merry-go-round of incessant spinning and arrive at Zero Point.",Swords,Eight,1,40,The Minor Arcana
Nine of Swords,"Locked in your own delusions caused by not gaining control over your thoughts, you may 72 have strayed too far into self-protection mode. Illusions are influencing your desire to protect yourself as you may be projecting fears into your future. Good news is, they are all illusions! Put down your weapon, as the hilt of your sword is broken. This is revealing that you’ve been cutting your own hand, for you are your own enemy and self-defense will be futile.",Swords,Nine,1,40,The Minor Arcana
